siteID	trapID	latitude_WGS84	longitude_WGS84	trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
33	TYBVXB	59.169998	17.765352	cropland	Multitrap	cropland	213	3	NA	NA
33	TYUAHW	59.171468	17.763506	cropland	Multitrap	cropland	213	4	170	NA
34	TTWBA4	59.1758743	14.2687025	forest	Single_trap	forest	205	3	160	NA
35	TSFYKU	59.17894	16.463186	forest	Single_trap	forest	210	11	200	NA
36	T3NLMJ	59.187123	15.584128	cropland	Multitrap	cropland	208	5	150	NA
36	T9DY9N	59.187032	15.579159	cropland	Multitrap	cropland	208	4	189	NA
36	TV5KPB	59.179878	15.580246	forest	Multitrap	forest	208	1	180	NA
36	TL3KCT	59.184976	15.579924	forest	Multitrap	forest	208	3	175	NA
36	TUDGN3	59.187159	15.588217	forest	Multitrap	forest	208	6	190	NA
36	T2YFPK	59.18265	15.579651	forest	Multitrap	forest/grasslands	208	2	170	NA
37	TIS5BD	59.389	13.3787	forest	Single_trap	forest	219	4	170	NA
38	TLCIG9	59.60201	12.91714	cropland	Single_trap	cropland	235	3	260	NA
39	TQNH2B	59.6142728	17.8056615	urban	Single_trap	urban	246	10	120	NA
40	TZQFGP	59.626304	17.358107	forest	Single_trap	forest	245	6	150	NA
41	TUBWQK	59.627185	16.465411	cropland	Single_trap	cropland	243	12	106	NA
42	TFIA7R	59.821687	18.701429	cropland	Single_trap	cropland	264	12	180	NA
43	TTNYZZ	59.851575	16.481107	forest	Single_trap	forest	259	10	175	NA
44	TBGYQQ	60.0618401	13.7781315	forest	Single_trap	forest	269	1	NA	NA
45	T8B7KU	60.2342556	17.8855086	forest	Single_trap	NA	NA	NA	220	NA
46	TG6JK1	60.297384	16.927488	grassland	Single_trap	grasslands	283	1	160	NA
47	TZVTYZ	60.531453	15.120207	forest	Single_trap	forest	293	5	200	NA
48	TM5LBB	60.533163	15.571019	wetland	Single_trap	wetlands	294	4	200	NA
49	TUQQIV	60.97032	14.65823	forest	Single_trap	forest	309	10	178	NA
50	TSVHD1	61.201524	16.960304	forest	Single_trap	forest	315	4	210	NA
51	TR24WG	61.40417	13.22408	wetland	Single_trap	wetlands	317	3	182	NA
52	TZRRMG	61.41881	14.17379	forest	Multitrap	forest	319	8	184	NA
52	T5FPCF	61.41672	14.17256	forest	Multitrap	forest	319	9	181	NA
52	TU2YW9	61.41375	14.15902	forest	Multitrap	forest	319	1	174	NA
52	TDCIPI	61.41453	14.16377	forest	Multitrap	forest	319	12	180	NA
52	TC6XPC	61.42074	14.16817	forest	Multitrap	forest	319	6	184	NA
52	T1QLZR	61.4214	14.17319	forest	Multitrap	forest	319	7	178	NA
53	TBLZ38	61.6164	12.734833	alpine	Single_trap	alpine	326	2	178	NA
54	TZFRJA	61.636669	12.707244	forest	Single_trap	NA	NA	NA	NA	NA
55	TFECCG	61.78576	16.95073	wetland	Single_trap	NA	NA	NA	184	NA
56	TWSFGJ	61.86726	14.13552	forest	Single_trap	forest	333	3	182	NA
57	THKAWB	61.8752487	16.5252547	forest	Multitrap	forest	337	8	180	NA
57	TMMIG9	61.8778805	16.5244326	forest	Multitrap	forest	337	7	NA	NA
57	TBSQHF	61.8754244	16.5112811	forest	Multitrap	forest	337	3	170	NA
57	TFQDEE	61.8776868	16.5102618	forest	Multitrap	forest	337	4	150	NA
57	TS1LPT	61.8779395	16.5155495	forest	Multitrap	forest	337	5	180	NA
57	TSFXCZ	61.8733921	16.5105652	forest	Multitrap	forest	337	2	140	NA
58	THGYUE	62.5418796	17.4983836	forest	Single_trap	forest	355	4	150	NA
59	TT79BQ	62.6352101	12.3795741	alpine	Single_trap	NA	NA	NA	NA	NA
60	TLFBSS	62.64846	17.792735	wetland	Single_trap	NA	NA	NA	176	NA
61	TLY1VQ	62.8463032	12.7777511	wetland	Single_trap	NA	NA	NA	180	NA
62	TG4NHB	62.9768433	18.0306489	forest	Multitrap	forest	374	10	NA	NA
62	T6WPKD	62.9812956	18.0309905	forest	Multitrap	forest	374	8	200	NA
62	TVNBV7	62.9786799	18.0311984	forest	Multitrap	forest	374	9	210	NA
62	TVCC3Y	62.9767733	18.0167185	forest	Multitrap	forest	374	1	170	NA
62	TCSZX1	62.9766708	18.0211542	forest	Multitrap	forest	374	12	180	NA
62	T2T1DJ	62.9768783	18.026823	forest	Multitrap	forest	374	11	200	NA
63	TXLZ8M	63.192267	14.660965	urban	Single_trap	NA	NA	NA	180	NA
64	TE2T4A	63.2210968	13.1105481	wetland	Single_trap	NA	NA	NA	NA	NA
65	T5R3X9	63.22362	15.056643	forest	Single_trap	forest	381	5	180	NA
66	THGNFM	63.6136392	12.2281101	forest	Single_trap	NA	NA	NA	NA	NA
67	T6YFBI	63.6147513	12.2334286	wetland	Single_trap	NA	NA	NA	190	NA
68	TCIHNW	63.65601	14.03068	forest	Multitrap	forest	399	1	178	NA
68	TSSMCA	63.65651	14.03552	wetland	Multitrap	wetlands	399	12	172	NA
68	TKMUNP	63.66093	14.02957	wetland	Multitrap	wetlands	399	3	173	NA
68	TEPZPF	63.66284	14.04025	wetland	Multitrap	wetlands	399	6	178	NA
68	TZXF7I	63.66276	14.03527	wetland	Multitrap	wetlands	399	5	175	NA
68	TMYD2K	63.66303	14.02971	wetland	Multitrap	wetlands	399	4	182	NA
69	TZ6Q7T	63.6676405	16.5696868	forest	Single_trap	forest	404	9	NA	NA
70	TXHDAT	63.8709868	18.5950507	forest	Single_trap	forest	413	3	180	NA
71	T9UPWP	64.0503453	20.1621544	cropland	Multitrap	cropland	430	11	220	NA
71	TJXUUR	64.0547145	20.1671356	forest	Multitrap	forest	430	8	170	NA
71	TJW6L7	64.0574146	20.1667289	forest	Multitrap	forest	430	7	190	NA
71	T1KSIA	64.0571488	20.1564413	forest	Multitrap	forest	430	5	190	NA
71	TRB71K	64.0571661	20.1628092	forest	Multitrap	forest	430	6	170	NA
71	TS2P4Q	64.0528579	20.1659856	forest	Multitrap	forest	430	9	180	NA
72	TTA2EM	64.0714295	19.6456404	wetland	Single_trap	wetlands	429	5	180	NA
73	TI93DT	64.122415	15.55678	forest	Multitrap	forest	421	7	195	NA
73	TTXHGW	64.115009	15.540245	forest	Multitrap	forest	421	1	176	NA
73	T7VH4H	64.117719	15.541552	forest	Multitrap	forest	421	2	176	NA
73	TAKAXU	64.115229	15.545738	forest	Multitrap	forest	421	12	181	NA
73	TKBVDW	64.122079	15.551254	wetland	Multitrap	wetlands	421	6	180	NA
73	TS6VW9	64.120008	15.555356	wetland	Multitrap	wetlands	421	8	182	NA
74	TND7ZQ	64.70675	20.7983	cropland	Single_trap	cropland	454	9	188	NA
75	T6K6TA	64.93472	20.8395	forest	Single_trap	forest	468	7	184	NA
76	TWRXFI	65.4183638	21.5139878	cropland	Single_trap	NA	NA	NA	225	NA
77	TYAASL	65.55576	22.03955	forest	Single_trap	urban	496	11	186	NA
78	TLFEGH	65.80904	21.54216	forest	Multitrap	forest	510	4	176	NA
78	TK5FQJ	65.80833	21.54613	forest	Multitrap	forest	510	5	180	NA
78	T5XNHX	65.80426	21.53992	forest	Multitrap	forest	510	2	184	NA
78	TYKB9L	65.80148	21.55559	forest	Multitrap	forest	510	10	184	NA
78	TK3EAJ	65.80139	21.55104	forest	Multitrap	forest	510	11	181	NA
78	TKIAHP	65.80341	21.55788	forest	Multitrap	forest	510	9	186	NA
79	T83QWB	65.9142669	14.9909339	forest	Single_trap	forest	498	7	190	NA
80	T2YSPU	66.39066	23.66219	urban	Single_trap	NA	NA	NA	175	NA
81	TDGVY8	66.4757956	20.2960094	wetland	Single_trap	NA	NA	NA	180	NA
82	TC8QBB	66.5973446	19.8426095	wetland	Single_trap	NA	NA	NA	180	NA
83	TG8NKF	66.6413026	18.6238284	wetland	Single_trap	NA	NA	NA	180	NA
84	TBGIW1	66.7941498	21.0427458	wetland	Single_trap	NA	NA	NA	180	NA
85	T5CELX	67.0675	21.29273	forest	Single_trap	NA	NA	NA	178	NA
86	T1YMRX	67.138019	18.301238	alpine	Single_trap	NA	NA	NA	172	NA
87	TJZHPY	67.1469025	18.3022567	grassland	Single_trap	NA	NA	NA	180	NA
88	TAPGMG	67.18333	20.72606	urban	Single_trap	urban	574	8	186	NA
89	TFUBVV	67.459982	18.42654	alpine	Single_trap	alpine	584	2	NA	NA
90	TUQ4KK	67.58907	20.18851	wetland	Single_trap	NA	NA	NA	NA	NA
91	T2NGGK	67.86626	20.26306	forest	Multitrap	forest	607	12	180	NA
91	TARUGI	67.86906	20.25816	forest	Multitrap	forest	607	2	174	NA
91	THG7AZ	67.8735	20.26367	forest	Multitrap	forest	607	5	179	NA
91	TNPKST	67.87283	20.2705	forest	Multitrap	forest	607	6	176	NA
91	TRICKN	67.87046	20.27589	wetland	Multitrap	wetlands	607	8	182	NA
91	TJNMNV	67.86682	20.25614	wetland	Multitrap	wetlands	607	1	184	NA
92	T4TJQT	68.016891	18.393688	alpine	Single_trap	NA	NA	NA	NA	NA
93	TYRKAV	68.27946	18.53027	alpine	Single_trap	NA	NA	NA	179	NA
94	TR9HSR	68.34207	19.1331	forest	Single_trap	forest	618	1	179	NA
95	T9MYFJ	68.35297	18.52717	alpine	Multitrap	alpine	617	1	183	NA
95	TGATIM	68.35346	18.53316	alpine	Multitrap	alpine	617	12	181	NA
95	TRNGSD	68.35452	18.54391	alpine	Multitrap	alpine	617	10	186	NA
95	TE8FGF	68.35659	18.54587	alpine	Multitrap	alpine	617	9	184	NA
95	TSJUPI	68.35896	18.54703	alpine	Multitrap	alpine	617	NA	182	NA
95	T2LIWT	68.35868	18.53085	alpine	Multitrap	alpine	617	3	186	NA
96	TSTZUY	68.35471	18.80928	wetland	Single_trap	NA	NA	NA	180	NA
97	TPEZUL	68.35964	18.4937	alpine	Single_trap	NA	NA	NA	184	NA
98	TUQ4KK_1	67.62057	20.15471	alpine	Single_trap	NA	NA	NA	NA	this trap has moved location from wind farm to a wetland. The trap_code has been changed to reflect this
99	TCMKFJ	65.8724048	19.3600827	forest	Multitrap	forest	506	3	190	CANCELLED
99	TDPRNI	65.8689655	19.3638546	forest	Multitrap	forest	506	12	180	CANCELLED
99	TEHHBJ	65.8683791	19.3689196	forest	Multitrap	forest	506	11	170	CANCELLED
99	TV2QKF	65.870273	19.3600663	forest	Multitrap	forest	506	2	180	CANCELLED
100	TJBXIG	65.962231	16.049839	wetland	Single_trap	NA	NA	NA	180	CANCELLED
