siteID	trapID	latitude_WGS84	longitude_WGS84	Locality		trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
68	TMYD2K	63.66303	14.02971	SE, Jämtland, Krokoms kommun, Libodvallen		wetland	Multitrap	wetlands	399	4	182	NA
69	TZ6Q7T	63.6676405	16.5696868	SE, Ångermanland, Sollefteå kommun, Lillterrsjö		forest	Single_trap	forest	404	9	NA	NA
70	TXHDAT	63.8709868	18.5950507	SE, Västerbotten, Bjurholms kommun, Bredträsk		forest	Single_trap	forest	413	3	180	NA
71	T9UPWP	64.0503453	20.1621544	SE, Västerbotten, Umeå kommun, Åliden		cropland	Multitrap	cropland	430	11	220	NA
71	TJXUUR	64.0547145	20.1671356	SE, Västerbotten, Umeå kommun, Åliden		forest	Multitrap	forest	430	8	170	NA
71	TJW6L7	64.0574146	20.1667289	SE, Västerbotten, Umeå kommun, Åliden		forest	Multitrap	forest	430	7	190	NA
71	T1KSIA	64.0571488	20.1564413	SE, Västerbotten, Umeå kommun, Åliden		forest	Multitrap	forest	430	5	190	NA
71	TRB71K	64.0571661	20.1628092	SE, Västerbotten, Umeå kommun, Åliden		forest	Multitrap	forest	430	6	170	NA
71	TS2P4Q	64.0528579	20.1659856	SE, Västerbotten, Umeå kommun, Åliden		forest	Multitrap	forest	430	9	180	NA
72	TTA2EM	64.0714295	19.6456404	SE, Västerbotten, Vindelns kommun, Tvärålund		wetland	Single_trap	wetlands	429	5	180	NA
73	TI93DT	64.122415	15.55678	SE, Jämtland, Strömsunds kommun, Långmyrkojan		forest	Multitrap	forest	421	7	195	NA
73	TTXHGW	64.115009	15.540245	SE, Jämtland, Strömsunds kommun, Långmyrkojan		forest	Multitrap	forest	421	1	176	NA
73	T7VH4H	64.117719	15.541552	SE, Jämtland, Strömsunds kommun, Långmyrkojan		forest	Multitrap	forest	421	2	176	NA
73	TAKAXU	64.115229	15.545738	SE, Jämtland, Strömsunds kommun, Långmyrkojan		forest	Multitrap	forest	421	12	181	NA
73	TKBVDW	64.122079	15.551254	SE, Jämtland, Strömsunds kommun, Långmyrkojan		wetland	Multitrap	wetlands	421	6	180	NA
73	TS6VW9	64.120008	15.555356	SE, Jämtland, Strömsunds kommun, Långmyrkojan		wetland	Multitrap	wetlands	421	8	182	NA
74	TND7ZQ	64.70675	20.7983	SE, Västerbotten, Skellefteå kommun, Mullbacka		cropland	Single_trap	cropland	454	9	188	NA
75	T6K6TA	64.93472	20.8395	SE, Västerbotten, Skellefteå kommun, Hemmistjärn		forest	Single_trap	forest	468	7	184	NA
76	TWRXFI	65.4183638	21.5139878	SE, Norrbotten, Piteå kommun, Norrfjärden		cropland	Single_trap	NA	NA	NA	225	NA
77	TYAASL	65.55576	22.03955	SE, Norrbotten, Luleå kommun, Kvarnträsket		forest	Single_trap	urban	496	11	186	NA
78	TLFEGH	65.80904	21.54216	SE, Norrbotten, Bodens kommun, Heden		forest	Multitrap	forest	510	4	176	NA
78	TK5FQJ	65.80833	21.54613	SE, Norrbotten, Bodens kommun, Heden		forest	Multitrap	forest	510	5	180	NA
78	T5XNHX	65.80426	21.53992	SE, Norrbotten, Bodens kommun, Heden		forest	Multitrap	forest	510	2	184	NA
78	TYKB9L	65.80148	21.55559	SE, Norrbotten, Bodens kommun, Heden		forest	Multitrap	forest	510	10	184	NA
78	TK3EAJ	65.80139	21.55104	SE, Norrbotten, Bodens kommun, Heden		forest	Multitrap	forest	510	11	181	NA
78	TKIAHP	65.80341	21.55788	SE, Norrbotten, Bodens kommun, Heden		forest	Multitrap	forest	510	9	186	NA
79	T83QWB	65.9142669	14.9909339	SE, Lappland, Storumans kommun, Umfors		forest	Single_trap	forest	498	7	190	NA
80	T2YSPU	66.39066	23.66219	SE, Norrbotten, Övertorneå kommun, Övertorneå		urban	Single_trap	NA	NA	NA	175	NA
81	TDGVY8	66.4757956	20.2960094	SE, Lappland, Jokkmokks kommun, Kåskats		wetland	Single_trap	NA	NA	NA	180	NA
82	TC8QBB	66.5973446	19.8426095	SE, Lappland, Jokkmokks kommun, Jokkmokk		wetland	Single_trap	NA	NA	NA	180	NA
83	TG8NKF	66.6413026	18.6238284	SE, Lappland, Jokkmokks kommun, Sauloudden		wetland	Single_trap	NA	NA	NA	180	NA
84	TBGIW1	66.7941498	21.0427458	SE, Lappland, Gällivare kommun, Nattavaara by		wetland	Single_trap	NA	NA	NA	180	NA
85	T5CELX	67.0675	21.29273	SE, Lappland, Gällivare kommun, Mettä Dokkas		forest	Single_trap	NA	NA	NA	178	NA
86	T1YMRX	67.138019	18.301238	SE, Lappland, Jokkmokks kommun, Aktse		alpine	Single_trap	NA	NA	NA	172	NA
87	TJZHPY	67.1469025	18.3022567	SE, Lappland, Jokkmokks kommun, Aktse		grassland	Single_trap	NA	NA	NA	180	NA
88	TAPGMG	67.18333	20.72606	SE, Lappland, Gällivare kommun, Koskullskulle		urban	Single_trap	urban	574	8	186	NA
89	TFUBVV	67.459982	18.42654	SE, Lappland, Gällivare kommun, Roavvesjkutjovárásj		alpine	Single_trap	alpine	584	2	NA	NA
90	TUQ4KK	67.58907	20.18851	SE, Lappland, Gällivare kommun, Lappberg		wetland	Single_trap	NA	NA	NA	NA	NA
91	T2NGGK	67.86626	20.26306	SE, Lappland, Kiruna kommun, Kiruna		forest	Multitrap	forest	607	12	180	NA
91	TARUGI	67.86906	20.25816	SE, Lappland, Kiruna kommun, Kiruna		forest	Multitrap	forest	607	2	174	NA
91	THG7AZ	67.8735	20.26367	SE, Lappland, Kiruna kommun, Kiruna		forest	Multitrap	forest	607	5	179	NA
91	TNPKST	67.87283	20.2705	SE, Lappland, Kiruna kommun, Kiruna		forest	Multitrap	forest	607	6	176	NA
91	TRICKN	67.87046	20.27589	SE, Lappland, Kiruna kommun, Kiruna		wetland	Multitrap	wetlands	607	8	182	NA
91	TJNMNV	67.86682	20.25614	SE, Lappland, Kiruna kommun, Kiruna		wetland	Multitrap	wetlands	607	1	184	NA
