sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
TSFYKU_L	TSFYKU	litter	05-07-2019	03:45:00_PM	ERS18959146	sample processed and sequenced
TTNYZZ_L	TTNYZZ	litter	11-07-2019	01:37:00_PM	ERS18959164	sample processed and sequenced
TUHLET_L	TUHLET	litter	16-07-2019	10:15:00_AM	ERS18959174	sample processed and sequenced
TV5KPB_L	TV5KPB	litter	08-07-2019	08:30:00_AM	ERS18959184	sample processed and sequenced
TWCPQR_L	TWCPQR	litter	26-06-2019	12:20:00_PM	ERS18959192	sample processed and sequenced
TWLJ2P_L	TWLJ2P	litter	26-06-2019	02:40:00_PM	ERS18959200	sample processed and sequenced
TWVCXF_L	TWVCXF	litter	15-07-2019	09:45:00_AM	ERS18959208	sample processed and sequenced
TXGZUY_L	TXGZUY	litter	12-07-2019	03:15:00_PM	ERS18959210	sample processed and sequenced
TYDUPV_L	TYDUPV	litter	11-07-2019	10:20:00_AM	ERS18959220	sample processed and sequenced
TYKZSN_L	TYKZSN	litter	16-07-2019	12:40:00_PM	ERS18959224	sample processed and sequenced
T1KSIA_L	T1KSIA	litter	16-07-2019	09:45:00_AM	ERS18958871	sample processed and sequenced
T1YMRX_L	T1YMRX	litter	20-07-2019	12:30:00_PM	ERS18958879	sample processed and sequenced
T5R3X9_L	T5R3X9	litter	27-07-2019	10:40:00_AM	ERS18958901	sample processed and sequenced
T5ZUGG_L	T5ZUGG	litter	08-07-2019	09:50:00_AM	ERS18958905	sample processed and sequenced
T6K6TA_L	T6K6TA	litter	05-07-2019	02:00:00_PM	ERS18958907	sample processed and sequenced
T6WPKD_L	T6WPKD	litter	02-07-2019	04:30:00_PM	ERS18958911	sample processed and sequenced
T7WIMF_L	T7WIMF	litter	17-07-2019	01:00:00_PM	ERS18958915	sample processed and sequenced
T8B7KU_L	T8B7KU	litter	26-07-2019	11:20:00_AM	ERS18958921	sample processed and sequenced
T8IKAG_L	T8IKAG	litter	09-07-2019	04:00:00_PM	ERS18958925	sample processed and sequenced
T9DY9N_L	T9DY9N	litter	08-07-2019	12:25:00_PM	ERS18958927	sample processed and sequenced
TAKAXU_L	TAKAXU	litter	19-07-2019	03:40:00_PM	ERS18958933	sample processed and sequenced
TC8QBB_L	TC8QBB	litter	23-07-2019	01:00:00_PM	ERS18958951	sample processed and sequenced
TDGVY8_L	TDGVY8	litter	11-07-2019	03:00:00_PM	ERS18958967	sample processed and sequenced
TFLSK1_L	TFLSK1	litter	04-07-2019	02:05:00_PM	ERS18958995	sample processed and sequenced
TFQDEE_L	TFQDEE	litter	22-07-2019	02:53:00_PM	ERS18958997	sample processed and sequenced
TG6JK1_L	TG6JK1	litter	12-07-2019	08:41:00_AM	ERS18959003	sample processed and sequenced
TI93DT_L	TI93DT	litter	19-07-2019	02:00:00_PM	ERS18959028	sample processed and sequenced
TIJXRJ_L	TIJXRJ	litter	19-07-2019	09:50:00_AM	ERS18959032	sample processed and sequenced
TIS5BD_L	TIS5BD	litter	03-07-2019	10:50:00_AM	ERS18959036	sample processed and sequenced
TJZEUI_L	TJZEUI	litter	23-07-2019	07:30:00_PM	ERS18959052	sample processed and sequenced
TK5FQJ_L	TK5FQJ	litter	02-07-2019	10:55:00_AM	ERS18959058	sample processed and sequenced
TKBVDW_L	TKBVDW	litter	20-07-2019	12:10:00_PM	ERS18959060	sample processed and sequenced
TKLVMZ_L	TKLVMZ	litter	23-07-2019	12:30:00_PM	ERS18959068	sample processed and sequenced
TKMZ5X_L	TKMZ5X	litter	11-07-2019	05:30:00_PM	ERS18959072	sample processed and sequenced
TL3KCT_L	TL3KCT	litter	10-07-2019	08:24:00_AM	ERS18959076	sample processed and sequenced
TM9NNJ_L	TM9NNJ	litter	11-07-2019	11:00:00_AM	ERS18959092	sample processed and sequenced
TNLTYQ_L	TNLTYQ	litter	11-07-2019	02:50:00_PM	ERS18959110	sample processed and sequenced
TNPKST_L	TNPKST	litter	16-07-2019	12:20:00_PM	ERS18959112	sample processed and sequenced
